,pH,Temprature,Taste,Odor,Fat ,Turbidity,Colour,Grade
0,6.6,35,1,0,1,0,254,high
1,6.6,36,0,1,0,1,253,high
2,8.5,70,1,1,1,1,246,low
3,9.5,34,1,1,0,1,255,low
4,6.6,37,0,0,0,0,255,medium
5,6.6,37,1,1,1,1,255,high
6,5.5,45,1,0,1,1,250,low
7,4.5,60,0,1,1,1,250,low
8,8.1,66,1,0,1,1,255,low
9,6.7,45,1,1,0,0,247,medium
10,6.7,45,1,1,1,0,245,medium
11,5.6,50,0,1,1,1,255,low
12,8.6,55,0,1,1,1,255,low
13,7.4,90,1,0,1,1,255,low
14,6.8,45,0,1,1,1,255,high
15,6.5,38,1,0,0,0,255,medium
16,4.7,38,1,0,1,0,255,low
17,3.0,40,1,1,1,1,255,low
18,9.0,43,1,0,1,1,250,low
19,6.8,40,1,0,1,0,245,medium
20,6.6,45,0,1,1,1,250,high
21,6.5,36,0,0,1,0,255,medium
22,4.5,38,0,1,1,1,255,low
23,6.6,45,1,1,1,1,245,high
24,6.8,35,1,0,1,0,246,medium
25,6.5,36,0,1,1,0,253,high
26,8.5,70,0,0,0,0,246,low
27,6.6,34,0,0,0,1,240,medium
28,6.5,37,0,0,0,0,245,medium
29,6.6,37,1,0,1,0,255,high
30,6.4,45,0,1,0,0,240,medium
31,6.5,40,0,1,0,1,250,low
32,6.8,42,1,1,1,1,255,high
33,6.7,41,1,0,0,0,247,medium
34,6.7,50,1,1,1,0,245,low
35,8.6,55,0,1,0,0,255,low
36,7.4,65,0,0,0,0,255,low
37,6.8,41,0,0,0,0,255,medium
38,6.5,38,1,1,1,1,255,high
39,6.8,38,0,0,0,0,255,medium
40,3.0,40,1,0,0,0,255,low
41,9.0,43,1,1,1,1,248,low
42,6.8,40,1,1,1,1,255,high
43,6.6,45,0,0,0,1,250,medium
44,6.5,36,0,0,0,0,247,medium
45,6.6,38,0,0,0,0,255,medium
46,6.8,45,1,1,1,0,245,high
47,6.5,37,0,0,0,0,255,medium
48,6.8,45,0,0,1,0,255,medium
49,6.5,38,1,0,1,0,255,medium
50,6.7,38,1,0,1,0,255,high
51,6.8,45,0,0,0,1,255,medium
52,6.8,45,1,1,1,1,245,high
53,6.5,35,1,0,1,0,246,medium
54,6.8,36,0,1,1,0,253,high
55,6.8,34,0,0,0,1,240,medium
56,6.8,45,0,1,0,0,240,medium
57,6.8,41,0,0,1,0,255,medium
58,6.6,50,0,0,0,1,250,low
59,6.6,50,0,0,0,0,255,low
60,6.6,35,0,1,1,1,255,high
61,6.8,50,0,0,1,0,255,low
62,6.6,43,1,0,1,1,250,high
63,6.6,38,1,0,1,0,255,high
64,6.6,38,0,0,1,0,255,medium
65,6.5,55,1,0,1,0,246,low
66,6.6,45,0,1,0,0,255,medium
67,6.5,40,1,0,0,0,250,medium
68,6.8,43,1,0,1,0,250,high
69,6.8,55,0,0,0,1,255,low
70,6.5,50,1,0,1,0,246,low
71,6.6,40,1,0,1,1,255,high
72,6.6,40,0,0,0,0,255,medium
73,6.5,37,0,1,1,1,245,low
74,6.6,40,1,0,0,0,255,medium
75,6.6,40,1,1,1,1,255,high
76,6.6,43,0,0,1,0,250,medium
77,6.5,40,0,0,1,0,250,medium
78,6.6,38,0,1,1,1,255,high
79,6.6,45,1,0,0,1,255,medium
80,6.8,41,1,1,1,0,255,high
81,6.5,45,1,0,0,0,246,medium
82,6.6,43,0,0,0,1,250,medium
